"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group B","bachelor's degree","standard","none","72","72","74"
"female","group C","some college","standard","completed","69","90","88"
"female","group B","master's degree","standard","none","90","95","93"
"male","group A","associate's degree","free/reduced","none","47","57","44"
"male","group C","some college","standard","none","76","78","75"
"female","group B","associate's degree","standard","none","71","83","78"
"female","group B","some college","standard","completed","88","95","92"
"male","group B","some college","free/reduced","none","40","43","39"
"male","group D","high school","free/reduced","completed","64","64","67"
"female","group B","high school","free/reduced","none","38","60","50"
"male","group C","associate's degree","standard","none","58","54","52"
"male","group D","associate's degree","standard","none","40","52","43"
"female","group B","high school","standard","none","65","81","73"
"male","group A","some college","standard","completed","78","72","70"
"female","group A","master's degree","standard","none","50","53","58"
"female","group C","some high school","standard","none","69","75","78"
"male","group C","high school","standard","none","88","89","86"
"female","group B","some high school","free/reduced","none","18","32","28"
"male","group C","master's degree","free/reduced","completed","46","42","46"
"female","group C","associate's degree","free/reduced","none","54","58","61"
"male","group D","high school","standard","none","66","69","63"
"female","group B","some college","free/reduced","completed","65","75","70"
"male","group D","some college","standard","none","44","54","53"
"female","group C","some high school","standard","none","69","73","73"
"male","group D","bachelor's degree","free/reduced","completed","74","71","80"
"male","group A","master's degree","free/reduced","none","73","74","72"
"male","group B","some college","standard","none","69","54","55"
"female","group C","bachelor's degree","standard","none","67","69","75"
"male","group C","high school","standard","none","70","70","65"
"female","group D","master's degree","standard","none","62","70","75"
"female","group D","some college","standard","none","69","74","74"
"female","group B","some college","standard","none","63","65","61"
"female","group E","master's degree","free/reduced","none","56","72","65"
"male","group D","some college","standard","none","40","42","38"
"male","group E","some college","standard","none","97","87","82"
"male","group E","associate's degree","standard","completed","81","81","79"
"female","group D","associate's degree","standard","none","74","81","83"
"female","group D","some high school","free/reduced","none","50","64","59"
"female","group D","associate's degree","free/reduced","completed","75","90","88"
"male","group B","associate's degree","free/reduced","none","57","56","57"
"male","group C","associate's degree","free/reduced","none","55","61","54"
"female","group C","associate's degree","standard","none","58","73","68"
"female","group B","associate's degree","standard","none","53","58","65"
"male","group B","some college","free/reduced","completed","59","65","66"
"female","group E","associate's degree","free/reduced","none","50","56","54"
"male","group B","associate's degree","standard","none","65","54","57"
"female","group A","associate's degree","standard","completed","55","65","62"
"female","group C","high school","standard","none","66","71","76"
"female","group D","associate's degree","free/reduced","completed","57","74","76"
"male","group C","high school","standard","completed","82","84","82"
"male","group E","some college","standard","none","53","55","48"
"male","group E","associate's degree","free/reduced","completed","77","69","68"
"male","group C","some college","standard","none","53","44","42"
"male","group D","high school","standard","none","88","78","75"
"female","group C","some high school","free/reduced","completed","71","84","87"
"female","group C","high school","free/reduced","none","33","41","43"
"female","group E","associate's degree","standard","completed","82","85","86"
"male","group D","associate's degree","standard","none","52","55","49"
"male","group D","some college","standard","completed","58","59","58"
"female","group C","some high school","free/reduced","none","0","17","10"
"male","group E","bachelor's degree","free/reduced","completed","79","74","72"
"male","group A","some high school","free/reduced","none","39","39","34"
"male","group A","associate's degree","free/reduced","none","62","61","55"
"female","group C","associate's degree","standard","none","69","80","71"
"female","group D","some high school","standard","none","59","58","59"
"male","group B","some high school","standard","none","67","64","61"
"male","group D","some high school","free/reduced","none","45","37","37"
"female","group C","some college","standard","none","60","72","74"
"male","group B","associate's degree","free/reduced","none","61","58","56"
"female","group C","associate's degree","standard","none","39","64","57"
"female","group D","some college","free/reduced","completed","58","63","73"
"male","group D","some college","standard","completed","63","55","63"
"female","group A","associate's degree","free/reduced","none","41","51","48"
"male","group C","some high school","free/reduced","none","61","57","56"
"male","group C","some high school","standard","none","49","49","41"
"male","group B","associate's degree","free/reduced","none","44","41","38"
"male","group E","some high school","standard","none","30","26","22"
"male","group A","bachelor's degree","standard","completed","80","78","81"
"female","group D","some high school","standard","completed","61","74","72"
"female","group E","master's degree","standard","none","62","68","68"
"female","group B","associate's degree","standard","none","47","49","50"
"male","group B","high school","free/reduced","none","49","45","45"
"male","group A","some college","free/reduced","completed","50","47","54"
"male","group E","associate's degree","standard","none","72","64","63"
"male","group D","high school","free/reduced","none","42","39","34"
"female","group C","some college","standard","none","73","80","82"
"female","group C","some college","free/reduced","none","76","83","88"
"female","group D","associate's degree","standard","none","71","71","74"
"female","group A","some college","standard","none","58","70","67"
"female","group D","some high school","standard","none","73","86","82"
"female","group C","bachelor's degree","standard","none","65","72","74"
"male","group C","high school","free/reduced","none","27","34","36"
"male","group C","high school","standard","none","71","79","71"
"male","group C","associate's degree","free/reduced","completed","43","45","50"
"female","group B","some college","standard","none","79","86","92"
"male","group C","associate's degree","free/reduced","completed","78","81","82"
"male","group B","some high school","standard","completed","65","66","62"
"female","group E","some college","standard","completed","63","72","70"
"female","group D","some college","free/reduced","none","58","67","62"
"female","group D","bachelor's degree","standard","none","65","67","62"
"male","group B","some college","standard","none","79","67","67"
"male","group D","bachelor's degree","standard","completed","68","74","74"
"female","group D","associate's degree","standard","none","85","91","89"
"male","group B","high school","standard","completed","60","44","47"
"male","group C","some college","standard","completed","98","86","90"
"female","group C","some college","standard","none","58","67","72"
"female","group D","master's degree","standard","none","87","100","100"
"male","group E","associate's degree","standard","completed","66","63","64"
"female","group B","associate's degree","free/reduced","none","52","76","70"
"female","group B","some high school","standard","none","70","64","72"
"female","group D","associate's degree","free/reduced","completed","77","89","98"
"male","group C","high school","standard","none","62","55","49"
"male","group A","associate's degree","standard","none","54","53","47"
"female","group D","some college","standard","none","51","58","54"
"female","group E","bachelor's degree","standard","completed","99","100","100"
"male","group C","high school","standard","none","84","77","74"
"female","group B","bachelor's degree","free/reduced","none","75","85","82"
"female","group D","bachelor's degree","standard","none","78","82","79"
"female","group D","some high school","standard","none","51","63","61"
"female","group C","some college","standard","none","55","69","65"
"female","group C","bachelor's degree","standard","completed","79","92","89"
"male","group B","associate's degree","standard","completed","91","89","92"
"female","group C","some college","standard","completed","88","93","93"
"male","group D","high school","free/reduced","none","63","57","56"
"male","group E","some college","standard","none","83","80","73"
"female","group B","high school","standard","none","87","95","86"
"male","group B","some high school","standard","none","72","68","67"
"male","group D","some college","standard","completed","65","77","74"
"male","group D","master's degree","standard","none","82","82","74"
"female","group A","bachelor's degree","standard","none","51","49","51"
"male","group D","master's degree","standard","none","89","84","82"
"male","group C","some high school","free/reduced","completed","53","37","40"
"male","group E","some college","free/reduced","completed","87","74","70"
"female","group C","some college","standard","completed","75","81","84"
"male","group D","bachelor's degree","free/reduced","completed","74","79","75"
"male","group C","bachelor's degree","standard","none","58","55","48"
"male","group B","some high school","standard","completed","51","54","41"
"male","group E","high school","standard","none","70","55","56"
"female","group C","associate's degree","standard","none","59","66","67"
"male","group D","some college","standard","completed","71","61","69"
"female","group D","some high school","standard","none","76","72","71"
"female","group C","some college","free/reduced","none","59","62","64"
"female","group E","some college","free/reduced","completed","42","55","54"
"male","group A","high school","standard","none","57","43","47"
"male","group D","some college","standard","none","88","73","78"
"female","group C","some college","free/reduced","none","22","39","33"
"male","group B","some high school","standard","none","88","84","75"
"male","group C","associate's degree","free/reduced","none","73","68","66"
"female","group D","bachelor's degree","standard","completed","68","75","81"
"male","group E","associate's degree","free/reduced","completed","100","100","93"
"male","group A","some high school","standard","completed","62","67","69"
"male","group A","bachelor's degree","standard","none","77","67","68"
"female","group B","associate's degree","standard","completed","59","70","66"
"male","group D","bachelor's degree","standard","none","54","49","47"
"male","group D","some high school","standard","none","62","67","61"
"female","group C","some college","standard","completed","70","89","88"
"female","group E","high school","free/reduced","completed","66","74","78"
"male","group B","some college","free/reduced","none","60","60","60"
"female","group B","associate's degree","standard","completed","61","86","87"
